ball_id,match_id,innings_index,over,ball_in_over,ball_number,ball_index,batting_team,batsman,bowler,event_type,event_token,result_raw,is_wicket,is_boundary,bat_runs,extras_runs,innings_runs,innings_wickets,innings_overs,crr,target_runs,runs_remaining,balls_remaining,rrr,phase
ball:CWC_2011_final_ALL:1:0.1,CWC_2011_final_ALL,1,0,1,0.1,1,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,0,0,0.17,0.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:0.2,CWC_2011_final_ALL,1,0,2,0.2,2,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,0,0,0.33,0.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:0.3,CWC_2011_final_ALL,1,0,3,0.3,3,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,0,0,0.5,0.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:0.4,CWC_2011_final_ALL,1,0,4,0.4,4,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,0,0,0.67,0.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:0.5,CWC_2011_final_ALL,1,0,5,0.5,5,SL,Upul Tharanga,Khan,extra,1b,1 bye,false,false,0,1,1,0,0.83,1.2,,,,,powerplay
ball:CWC_2011_final_ALL:1:0.6,CWC_2011_final_ALL,1,0,6,0.6,6,SL,Dilshan,Khan,extra,1lb,1 leg bye,false,false,0,1,2,0,1.0,2.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.1,CWC_2011_final_ALL,1,1,1,1.1,7,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,2,0,1.17,1.71,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.2,CWC_2011_final_ALL,1,1,2,1.2,8,SL,Dilshan,Sreesanth,extra,2nb,(no ball) 1 run,false,false,0,2,4,0,1.17,3.43,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.2,CWC_2011_final_ALL,1,1,2,1.2,9,SL,Upul Tharanga,Sreesanth,run,1,1 run,false,false,1,0,5,0,1.33,3.75,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.3,CWC_2011_final_ALL,1,1,3,1.3,10,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,5,0,1.5,3.33,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.4,CWC_2011_final_ALL,1,1,4,1.4,11,SL,Dilshan,Sreesanth,run,2,2 runs,false,false,2,0,7,0,1.67,4.2,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.5,CWC_2011_final_ALL,1,1,5,1.5,12,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,7,0,1.83,3.82,,,,,powerplay
ball:CWC_2011_final_ALL:1:1.6,CWC_2011_final_ALL,1,1,6,1.6,13,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,7,0,2.0,3.5,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.1,CWC_2011_final_ALL,1,2,1,2.1,14,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,2.17,3.23,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.2,CWC_2011_final_ALL,1,2,2,2.2,15,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,2.33,3.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.3,CWC_2011_final_ALL,1,2,3,2.3,16,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,2.5,2.8,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.4,CWC_2011_final_ALL,1,2,4,2.4,17,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,2.67,2.62,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.5,CWC_2011_final_ALL,1,2,5,2.5,18,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,2.83,2.47,,,,,powerplay
ball:CWC_2011_final_ALL:1:2.6,CWC_2011_final_ALL,1,2,6,2.6,19,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,7,0,3.0,2.33,,,,,powerplay
ball:CWC_2011_final_ALL:1:3.1,CWC_2011_final_ALL,1,3,1,3.1,20,SL,Dilshan,Sreesanth,run,1,1 run,false,false,1,0,8,0,3.17,2.53,,,,,powerplay
ball:CWC_2011_final_ALL:1:3.2,CWC_2011_final_ALL,1,3,2,3.2,21,SL,Upul Tharanga,Sreesanth,run,1,1 run,false,false,1,0,9,0,3.33,2.7,,,,,powerplay
