source_id,relation,target_id
ball:CWC_2011_final_ALL:1:0.1,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:0.1,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.1,event_type,event:dot
ball:CWC_2011_final_ALL:1:0.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:0.2,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:0.2,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.2,event_type,event:dot
ball:CWC_2011_final_ALL:1:0.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:0.3,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:0.3,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.3,event_type,event:dot
ball:CWC_2011_final_ALL:1:0.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:0.4,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:0.4,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.4,event_type,event:dot
ball:CWC_2011_final_ALL:1:0.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:0.5,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:0.5,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.5,event_type,event:extra
ball:CWC_2011_final_ALL:1:0.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:0.6,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:0.6,bowler,player:Khan
ball:CWC_2011_final_ALL:1:0.6,event_type,event:extra
ball:CWC_2011_final_ALL:1:0.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.1,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.1,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.1,event_type,event:dot
ball:CWC_2011_final_ALL:1:1.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.2,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.2,batsman,player:Upul Tharanga
ball:CWC_2011_final_ALL:1:1.2,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.2,event_type,event:extra
ball:CWC_2011_final_ALL:1:1.2,event_type,event:run
ball:CWC_2011_final_ALL:1:1.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.3,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.3,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.3,event_type,event:dot
ball:CWC_2011_final_ALL:1:1.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.4,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.4,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.4,event_type,event:run
ball:CWC_2011_final_ALL:1:1.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.5,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.5,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.5,event_type,event:dot
ball:CWC_2011_final_ALL:1:1.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:1.6,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:1.6,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:1.6,event_type,event:dot
ball:CWC_2011_final_ALL:1:1.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:1:10.1,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:10.1,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.1,event_type,event:run
ball:CWC_2011_final_ALL:1:10.1,phase,phase:middle
ball:CWC_2011_final_ALL:1:10.2,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:10.2,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.2,event_type,event:dot
ball:CWC_2011_final_ALL:1:10.2,phase,phase:middle
ball:CWC_2011_final_ALL:1:10.3,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:10.3,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.3,event_type,event:run
ball:CWC_2011_final_ALL:1:10.3,phase,phase:middle
ball:CWC_2011_final_ALL:1:10.4,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:10.4,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.4,event_type,event:dot
ball:CWC_2011_final_ALL:1:10.4,phase,phase:middle
ball:CWC_2011_final_ALL:1:10.5,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:10.5,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.5,event_type,event:dot
ball:CWC_2011_final_ALL:1:10.5,phase,phase:middle
ball:CWC_2011_final_ALL:1:10.6,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:10.6,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:10.6,event_type,event:dot
ball:CWC_2011_final_ALL:1:10.6,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.1,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:11.1,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.1,event_type,event:run
ball:CWC_2011_final_ALL:1:11.1,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.2,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:11.2,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.2,event_type,event:dot
ball:CWC_2011_final_ALL:1:11.2,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.3,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:11.3,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.3,event_type,event:dot
ball:CWC_2011_final_ALL:1:11.3,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.4,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:11.4,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.4,event_type,event:boundary
ball:CWC_2011_final_ALL:1:11.4,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.5,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:11.5,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.5,event_type,event:dot
ball:CWC_2011_final_ALL:1:11.5,phase,phase:middle
ball:CWC_2011_final_ALL:1:11.6,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:11.6,bowler,player:Patel
ball:CWC_2011_final_ALL:1:11.6,event_type,event:dot
ball:CWC_2011_final_ALL:1:11.6,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.1,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:12.1,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.1,event_type,event:run
ball:CWC_2011_final_ALL:1:12.1,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.2,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:12.2,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.2,event_type,event:boundary
ball:CWC_2011_final_ALL:1:12.2,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.3,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:12.3,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.3,event_type,event:boundary
ball:CWC_2011_final_ALL:1:12.3,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.4,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:12.4,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.4,event_type,event:dot
ball:CWC_2011_final_ALL:1:12.4,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.5,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:12.5,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.5,event_type,event:dot
ball:CWC_2011_final_ALL:1:12.5,phase,phase:middle
ball:CWC_2011_final_ALL:1:12.6,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:12.6,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:12.6,bowler,player:Sreesanth
ball:CWC_2011_final_ALL:1:12.6,event_type,event:boundary
ball:CWC_2011_final_ALL:1:12.6,event_type,event:extra
ball:CWC_2011_final_ALL:1:12.6,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.1,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:13.1,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.1,event_type,event:dot
ball:CWC_2011_final_ALL:1:13.1,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.2,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:13.2,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.2,event_type,event:run
ball:CWC_2011_final_ALL:1:13.2,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.3,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:13.3,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.3,event_type,event:extra
ball:CWC_2011_final_ALL:1:13.3,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.4,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:13.4,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.4,event_type,event:dot
ball:CWC_2011_final_ALL:1:13.4,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.5,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:13.5,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.5,event_type,event:dot
ball:CWC_2011_final_ALL:1:13.5,phase,phase:middle
ball:CWC_2011_final_ALL:1:13.6,batsman,player:Sangakkara
ball:CWC_2011_final_ALL:1:13.6,bowler,player:Patel
ball:CWC_2011_final_ALL:1:13.6,event_type,event:dot
ball:CWC_2011_final_ALL:1:13.6,phase,phase:middle
ball:CWC_2011_final_ALL:1:14.1,batsman,player:Dilshan
ball:CWC_2011_final_ALL:1:14.1,bowler,player:Harbhajan
ball:CWC_2011_final_ALL:1:14.1,event_type,event:run
ball:CWC_2011_final_ALL:1:14.1,phase,phase:middle
