node_id,node_type,name,match_id,innings_index,over,ball_in_over
match:CWC_2011_final_ALL,match,CWC_2011_final_ALL,CWC_2011_final_ALL,,,
innings:CWC_2011_final_ALL:1,innings,1,CWC_2011_final_ALL,1,,
over:CWC_2011_final_ALL:1:0,over,0,CWC_2011_final_ALL,1,0,
ball:CWC_2011_final_ALL:1:0.1,ball,0.1,CWC_2011_final_ALL,1,0,1
team:CWC_2011_final_ALL:SL,team,SL,CWC_2011_final_ALL,,,
player:Upul Tharanga,player,Upul Tharanga,,,,
player:Khan,player,Khan,,,,
event:dot,event_type,dot,,,,
phase:powerplay,phase,powerplay,,,,
ball:CWC_2011_final_ALL:1:0.2,ball,0.2,CWC_2011_final_ALL,1,0,2
ball:CWC_2011_final_ALL:1:0.3,ball,0.3,CWC_2011_final_ALL,1,0,3
ball:CWC_2011_final_ALL:1:0.4,ball,0.4,CWC_2011_final_ALL,1,0,4
ball:CWC_2011_final_ALL:1:0.5,ball,0.5,CWC_2011_final_ALL,1,0,5
event:extra,event_type,extra,,,,
ball:CWC_2011_final_ALL:1:0.6,ball,0.6,CWC_2011_final_ALL,1,0,6
player:Dilshan,player,Dilshan,,,,
over:CWC_2011_final_ALL:1:1,over,1,CWC_2011_final_ALL,1,1,
ball:CWC_2011_final_ALL:1:1.1,ball,1.1,CWC_2011_final_ALL,1,1,1
player:Sreesanth,player,Sreesanth,,,,
ball:CWC_2011_final_ALL:1:1.2,ball,1.2,CWC_2011_final_ALL,1,1,2
event:run,event_type,run,,,,
ball:CWC_2011_final_ALL:1:1.3,ball,1.3,CWC_2011_final_ALL,1,1,3
ball:CWC_2011_final_ALL:1:1.4,ball,1.4,CWC_2011_final_ALL,1,1,4
ball:CWC_2011_final_ALL:1:1.5,ball,1.5,CWC_2011_final_ALL,1,1,5
ball:CWC_2011_final_ALL:1:1.6,ball,1.6,CWC_2011_final_ALL,1,1,6
over:CWC_2011_final_ALL:1:2,over,2,CWC_2011_final_ALL,1,2,
ball:CWC_2011_final_ALL:1:2.1,ball,2.1,CWC_2011_final_ALL,1,2,1
ball:CWC_2011_final_ALL:1:2.2,ball,2.2,CWC_2011_final_ALL,1,2,2
ball:CWC_2011_final_ALL:1:2.3,ball,2.3,CWC_2011_final_ALL,1,2,3
ball:CWC_2011_final_ALL:1:2.4,ball,2.4,CWC_2011_final_ALL,1,2,4
ball:CWC_2011_final_ALL:1:2.5,ball,2.5,CWC_2011_final_ALL,1,2,5
ball:CWC_2011_final_ALL:1:2.6,ball,2.6,CWC_2011_final_ALL,1,2,6
over:CWC_2011_final_ALL:1:3,over,3,CWC_2011_final_ALL,1,3,
ball:CWC_2011_final_ALL:1:3.1,ball,3.1,CWC_2011_final_ALL,1,3,1
ball:CWC_2011_final_ALL:1:3.2,ball,3.2,CWC_2011_final_ALL,1,3,2
ball:CWC_2011_final_ALL:1:3.3,ball,3.3,CWC_2011_final_ALL,1,3,3
ball:CWC_2011_final_ALL:1:3.4,ball,3.4,CWC_2011_final_ALL,1,3,4
ball:CWC_2011_final_ALL:1:3.5,ball,3.5,CWC_2011_final_ALL,1,3,5
ball:CWC_2011_final_ALL:1:3.6,ball,3.6,CWC_2011_final_ALL,1,3,6
over:CWC_2011_final_ALL:1:4,over,4,CWC_2011_final_ALL,1,4,
ball:CWC_2011_final_ALL:1:4.1,ball,4.1,CWC_2011_final_ALL,1,4,1
ball:CWC_2011_final_ALL:1:4.2,ball,4.2,CWC_2011_final_ALL,1,4,2
ball:CWC_2011_final_ALL:1:4.3,ball,4.3,CWC_2011_final_ALL,1,4,3
ball:CWC_2011_final_ALL:1:4.4,ball,4.4,CWC_2011_final_ALL,1,4,4
ball:CWC_2011_final_ALL:1:4.5,ball,4.5,CWC_2011_final_ALL,1,4,5
ball:CWC_2011_final_ALL:1:4.6,ball,4.6,CWC_2011_final_ALL,1,4,6
over:CWC_2011_final_ALL:1:5,over,5,CWC_2011_final_ALL,1,5,
ball:CWC_2011_final_ALL:1:5.1,ball,5.1,CWC_2011_final_ALL,1,5,1
event:boundary,event_type,boundary,,,,
ball:CWC_2011_final_ALL:1:5.2,ball,5.2,CWC_2011_final_ALL,1,5,2
ball:CWC_2011_final_ALL:1:5.3,ball,5.3,CWC_2011_final_ALL,1,5,3
ball:CWC_2011_final_ALL:1:5.4,ball,5.4,CWC_2011_final_ALL,1,5,4
ball:CWC_2011_final_ALL:1:5.5,ball,5.5,CWC_2011_final_ALL,1,5,5
ball:CWC_2011_final_ALL:1:5.6,ball,5.6,CWC_2011_final_ALL,1,5,6
over:CWC_2011_final_ALL:1:6,over,6,CWC_2011_final_ALL,1,6,
ball:CWC_2011_final_ALL:1:6.1,ball,6.1,CWC_2011_final_ALL,1,6,1
event:wicket,event_type,wicket,,,,
ball:CWC_2011_final_ALL:1:6.2,ball,6.2,CWC_2011_final_ALL,1,6,2
player:Sangakkara,player,Sangakkara,,,,
ball:CWC_2011_final_ALL:1:6.3,ball,6.3,CWC_2011_final_ALL,1,6,3
ball:CWC_2011_final_ALL:1:6.4,ball,6.4,CWC_2011_final_ALL,1,6,4
ball:CWC_2011_final_ALL:1:6.5,ball,6.5,CWC_2011_final_ALL,1,6,5
ball:CWC_2011_final_ALL:1:6.6,ball,6.6,CWC_2011_final_ALL,1,6,6
over:CWC_2011_final_ALL:1:7,over,7,CWC_2011_final_ALL,1,7,
ball:CWC_2011_final_ALL:1:7.1,ball,7.1,CWC_2011_final_ALL,1,7,1
player:Patel,player,Patel,,,,
ball:CWC_2011_final_ALL:1:7.2,ball,7.2,CWC_2011_final_ALL,1,7,2
ball:CWC_2011_final_ALL:1:7.3,ball,7.3,CWC_2011_final_ALL,1,7,3
ball:CWC_2011_final_ALL:1:7.4,ball,7.4,CWC_2011_final_ALL,1,7,4
ball:CWC_2011_final_ALL:1:7.5,ball,7.5,CWC_2011_final_ALL,1,7,5
ball:CWC_2011_final_ALL:1:7.6,ball,7.6,CWC_2011_final_ALL,1,7,6
over:CWC_2011_final_ALL:1:8,over,8,CWC_2011_final_ALL,1,8,
ball:CWC_2011_final_ALL:1:8.1,ball,8.1,CWC_2011_final_ALL,1,8,1
ball:CWC_2011_final_ALL:1:8.2,ball,8.2,CWC_2011_final_ALL,1,8,2
ball:CWC_2011_final_ALL:1:8.3,ball,8.3,CWC_2011_final_ALL,1,8,3
ball:CWC_2011_final_ALL:1:8.4,ball,8.4,CWC_2011_final_ALL,1,8,4
ball:CWC_2011_final_ALL:1:8.5,ball,8.5,CWC_2011_final_ALL,1,8,5
ball:CWC_2011_final_ALL:1:8.6,ball,8.6,CWC_2011_final_ALL,1,8,6
over:CWC_2011_final_ALL:1:9,over,9,CWC_2011_final_ALL,1,9,
ball:CWC_2011_final_ALL:1:9.1,ball,9.1,CWC_2011_final_ALL,1,9,1
ball:CWC_2011_final_ALL:1:9.2,ball,9.2,CWC_2011_final_ALL,1,9,2
ball:CWC_2011_final_ALL:1:9.3,ball,9.3,CWC_2011_final_ALL,1,9,3
